Fecha,año,mes,día_semana,semana,mes_nombre,es_fin_de_semana
2023-03-01,2023,3,Wednesday,9,March,False
2023-03-01,2023,3,Wednesday,9,March,False
2023-03-01,2023,3,Wednesday,9,March,False
2023-03-01,2023,3,Wednesday,9,March,False
2023-03-01,2023,3,Wednesday,9,March,False
2023-03-01,2023,3,Wednesday,9,March,False
2023-03-01,2023,3,Wednesday,9,March,False
2023-03-01,2023,3,Wednesday,9,March,False
2023-03-01,2023,3,Wednesday,9,March,False
2023-03-01,2023,3,Wednesday,9,March,False
2023-03-01,2023,3,Wednesday,9,March,False
2023-03-01,2023,3,Wednesday,9,March,False
2023-03-01,2023,3,Wednesday,9,March,False
2023-03-01,2023,3,Wednesday,9,March,False
2023-03-01,2023,3,Wednesday,9,March,False
2023-03-01,2023,3,Wednesday,9,March,False
2023-03-01,2023,3,Wednesday,9,March,False
2023-03-01,2023,3,Wednesday,9,March,False
2023-03-01,2023,3,Wednesday,9,March,False
2023-03-01,2023,3,Wednesday,9,March,False
2023-03-01,2023,3,Wednesday,9,March,False
2023-03-01,2023,3,Wednesday,9,March,False
2023-03-01,2023,3,Wednesday,9,March,False
2023-03-01,2023,3,Wednesday,9,March,False
2023-03-01,2023,3,Wednesday,9,March,False
2023-03-01,2023,3,Wednesday,9,March,False
2023-03-01,2023,3,Wednesday,9,March,False
2023-03-01,2023,3,Wednesday,9,March,False
2023-03-01,2023,3,Wednesday,9,March,False
2023-03-01,2023,3,Wednesday,9,March,False
2023-03-01,2023,3,Wednesday,9,March,False
2023-03-01,2023,3,Wednesday,9,March,False
2023-03-01,2023,3,Wednesday,9,March,False
2023-03-01,2023,3,Wednesday,9,March,False
2023-03-01,2023,3,Wednesday,9,March,False
2023-03-01,2023,3,Wednesday,9,March,False
2023-03-01,2023,3,Wednesday,9,March,False
2023-03-01,2023,3,Wednesday,9,March,False
2023-03-01,2023,3,Wednesday,9,March,False
2023-03-01,2023,3,Wednesday,9,March,False
2023-03-01,2023,3,Wednesday,9,March,False
2023-03-01,2023,3,Wednesday,9,March,False
2023-03-01,2023,3,Wednesday,9,March,False
2023-03-01,2023,3,Wednesday,9,March,False
2023-03-01,2023,3,Wednesday,9,March,False
2023-03-01,2023,3,Wednesday,9,March,False
2023-03-01,2023,3,Wednesday,9,March,False
2023-03-01,2023,3,Wednesday,9,March,False
2023-03-01,2023,3,Wednesday,9,March,False
2023-03-01,2023,3,Wednesday,9,March,False
2023-03-01,2023,3,Wednesday,9,March,False
2023-03-01,2023,3,Wednesday,9,March,False
2023-03-01,2023,3,Wednesday,9,March,False
2023-03-01,2023,3,Wednesday,9,March,False
2023-03-01,2023,3,Wednesday,9,March,False
2023-03-01,2023,3,Wednesday,9,March,False
2023-03-01,2023,3,Wednesday,9,March,False
2023-03-01,2023,3,Wednesday,9,March,False
2023-03-01,2023,3,Wednesday,9,March,False
2023-03-01,2023,3,Wednesday,9,March,False
2023-03-01,2023,3,Wednesday,9,March,False
2023-03-01,2023,3,Wednesday,9,March,False
2023-03-01,2023,3,Wednesday,9,March,False
2023-03-01,2023,3,Wednesday,9,March,False
2023-03-01,2023,3,Wednesday,9,March,False
2023-03-01,2023,3,Wednesday,9,March,False
2023-03-01,2023,3,Wednesday,9,March,False
2023-03-01,2023,3,Wednesday,9,March,False
2023-03-01,2023,3,Wednesday,9,March,False
2023-03-01,2023,3,Wednesday,9,March,False
2023-03-01,2023,3,Wednesday,9,March,False
2023-03-01,2023,3,Wednesday,9,March,False
2023-03-01,2023,3,Wednesday,9,March,False
2023-03-01,2023,3,Wednesday,9,March,False
2023-03-01,2023,3,Wednesday,9,March,False
2023-03-01,2023,3,Wednesday,9,March,False
2023-03-01,2023,3,Wednesday,9,March,False
2023-03-01,2023,3,Wednesday,9,March,False
2023-03-01,2023,3,Wednesday,9,March,False
2023-03-01,2023,3,Wednesday,9,March,False
2023-03-01,2023,3,Wednesday,9,March,False
2023-03-01,2023,3,Wednesday,9,March,False
2023-03-01,2023,3,Wednesday,9,March,False
2023-03-01,2023,3,Wednesday,9,March,False
2023-03-01,2023,3,Wednesday,9,March,False
2023-03-01,2023,3,Wednesday,9,March,False
2023-03-01,2023,3,Wednesday,9,March,False
2023-03-01,2023,3,Wednesday,9,March,False
2023-03-01,2023,3,Wednesday,9,March,False
2023-03-01,2023,3,Wednesday,9,March,False
2023-03-01,2023,3,Wednesday,9,March,False
2023-03-01,2023,3,Wednesday,9,March,False
2023-03-01,2023,3,Wednesday,9,March,False
2023-03-01,2023,3,Wednesday,9,March,False
2023-03-01,2023,3,Wednesday,9,March,False
2023-03-01,2023,3,Wednesday,9,March,False
2023-03-01,2023,3,Wednesday,9,March,False
2023-03-01,2023,3,Wednesday,9,March,False
2023-03-01,2023,3,Wednesday,9,March,False
2023-03-01,2023,3,Wednesday,9,March,False
2023-03-01,2023,3,Wednesday,9,March,False
2023-03-01,2023,3,Wednesday,9,March,False
2023-03-01,2023,3,Wednesday,9,March,False
2023-03-01,2023,3,Wednesday,9,March,False
2023-03-01,2023,3,Wednesday,9,March,False
2023-03-01,2023,3,Wednesday,9,March,False
2023-03-01,2023,3,Wednesday,9,March,False
2023-03-01,2023,3,Wednesday,9,March,False
2023-03-01,2023,3,Wednesday,9,March,False
2023-03-01,2023,3,Wednesday,9,March,False
2023-03-01,2023,3,Wednesday,9,March,False
2023-03-01,2023,3,Wednesday,9,March,False
2023-03-01,2023,3,Wednesday,9,March,False
2023-03-01,2023,3,Wednesday,9,March,False
2023-03-01,2023,3,Wednesday,9,March,False
2023-03-01,2023,3,Wednesday,9,March,False
2023-03-01,2023,3,Wednesday,9,March,False
2023-03-01,2023,3,Wednesday,9,March,False
2023-03-01,2023,3,Wednesday,9,March,False
2023-03-01,2023,3,Wednesday,9,March,False
2023-03-01,2023,3,Wednesday,9,March,False
2023-03-01,2023,3,Wednesday,9,March,False
2023-03-01,2023,3,Wednesday,9,March,False
2023-03-01,2023,3,Wednesday,9,March,False
2023-03-01,2023,3,Wednesday,9,March,False
2023-03-01,2023,3,Wednesday,9,March,False
2023-03-01,2023,3,Wednesday,9,March,False
2023-03-01,2023,3,Wednesday,9,March,False
2023-03-01,2023,3,Wednesday,9,March,False
2023-03-01,2023,3,Wednesday,9,March,False
2023-03-01,2023,3,Wednesday,9,March,False
2023-03-01,2023,3,Wednesday,9,March,False
2023-03-01,2023,3,Wednesday,9,March,False
2023-03-01,2023,3,Wednesday,9,March,False
2023-03-01,2023,3,Wednesday,9,March,False
2023-03-01,2023,3,Wednesday,9,March,False
2023-03-01,2023,3,Wednesday,9,March,False
2023-03-01,2023,3,Wednesday,9,March,False
2023-03-01,2023,3,Wednesday,9,March,False
2023-03-01,2023,3,Wednesday,9,March,False
2023-03-01,2023,3,Wednesday,9,March,False
2023-03-01,2023,3,Wednesday,9,March,False
2023-03-01,2023,3,Wednesday,9,March,False
2023-03-01,2023,3,Wednesday,9,March,False
2023-03-01,2023,3,Wednesday,9,March,False
2023-03-01,2023,3,Wednesday,9,March,False
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
2023-04-01,2023,4,Saturday,13,April,True
